,N53,N87,N108,T53,T87,T108
ENSG00000007402,802.0193404051447,265.04685210571034,165.36010417127702,980.4749065510836,3237.0770423749314,202.30572783033105
ENSG00000007516,1773.8898945051133,251.0267415409247,329.5557005667,2985.4335098220363,343.33820285155707,16.0098057995226
ENSG00000007520,2275.403241450185,291.75182461006403,1929.5893845901833,2551.4863695530807,1561.8368817643725,900.9154354458627
ENSG00000007541,2979.9340154151055,807.1577939440903,1682.7137361091218,5381.353923429642,3181.5485403192124,1328.813881360376
ENSG00000007545,1285.4420255365665,869.2468550167126,1565.0984507478615,1391.9059216174046,728.1272593503409,1474.357570446945
ENSG00000007866,2539.7279112829583,1551.5589025029494,1966.8536334175135,2562.744432154398,1446.8694197616871,2480.0644620351372
ENSG00000007908,41.20650746442473,2015.5577997660946,5022.522037258576,117.69792719558936,169.71387248015463,142.63281530483772
ENSG00000007923,1925.6504463862873,1060.1874084228414,2878.6632219112453,2208.6271903311463,2448.728731499374,1759.6232010566205
ENSG00000007933,207.03757408954866,375.8724879987782,1101.624355957944,166.82401854679188,88.37634834220034,71.31640765241886
ENSG00000007944,3306.570964828228,2804.6897372697463,4628.918409019902,3119.50680080136,5206.383636407325,2207.897763443253
ENSG00000007952,35.17628685987477,54.07756932131622,29.11269439635159,40.93840945933543,93.85098938994727,183.38504824907707
ENSG00000007968,247.2390447865484,50.07182344566317,25.6191710687894,566.9969710117957,687.4584972813637,276.5330092644813
ENSG00000008018,8627.235611576143,6785.733513356273,11437.795374438612,10194.687415611006,8106.379208556696,17216.362982050257
ENSG00000008056,23.115845650774848,52.74232069609854,17.467616637810952,49.12609135120252,15.641831564991211,84.41533967021007
ENSG00000008083,1877.4086815498877,1459.426747362929,1293.7681389738646,1942.5275288454661,3714.1529051071634,4987.782224996723
ENSG00000008086,955.7899658211687,1892.7149262460678,1848.0738402803988,1755.2343055690067,2696.651761804485,1584.9707741527375
ENSG00000008128,195.98216964787372,98.80839826610865,242.21761737764524,108.48678506723888,238.53793136611597,155.73174732262893
ENSG00000008130,2908.576404927931,1926.7637661891188,6348.896393956355,2863.6417416805134,3103.3393824942564,2155.5020353720884
ENSG00000008196,1747.7589385520635,1912.0760313117241,115.2862698095523,71.642216553837,8.603007360745167,5476.809020327595
ENSG00000008226,49.24680160382468,91.46453082741138,104.80569982686572,31.727267330984958,60.22105152521617,93.14796101540422
ENSG00000008256,2830.1835370687813,2478.2214484040223,6371.022041697582,4052.9025364742074,1324.081041976506,852.8860180472949
ENSG00000008277,438.1960305972971,1368.6298408481266,1653.6010417127702,403.243333174454,466.1265806367381,700.0651445063974
ENSG00000008282,7903.609139030148,16276.680741403574,11574.042784213538,8969.605512540393,9485.98875258892,14845.456286830047
ENSG00000008283,8620.20035420417,4555.868309242739,1893.4896435387075,14698.935916374387,5791.388136937996,11521.238428092809
ENSG00000008294,3587.9812597072264,9037.630319785898,12924.871804204251,3994.5653029946548,6016.63051147387,2704.201743228454
ENSG00000008300,612.067391361821,90.1292822021937,69.87046655124381,1642.653679555834,2225.8326316982493,250.33514522889885
ENSG00000008311,401.00967020257235,1066.196027236321,1959.866586762389,122.8152283780063,695.2794130638594,962.0437848622217
ENSG00000008323,1037.1979439825932,668.2919369214511,5792.261677098112,133.04983074284016,771.9243877323163,717.5303871967857
ENSG00000008324,731.6667666853951,869.9144793293215,593.8989656855724,644.779948984533,1001.0772201594375,2253.0163070600897
ENSG00000008382,825.1351860559196,289.0813273596287,692.8821266331678,672.4133753695844,844.6589045095254,417.7103876784533
ENSG00000008394,6294.545274382734,15663.801622428657,87204.16479483155,7806.9546838952665,19962.105443241784,24234.47966980462
ENSG00000008405,1527.6558864859899,4521.8194692996885,1449.8121809383092,2684.536200295921,2319.6836210881966,1534.0304829724382
ENSG00000008441,12777.03242427394,12584.718292676676,31611.72808333441,2270.0348045201495,37320.62802249078,22588.380546235523
ENSG00000008513,5541.772735581414,3687.9567028512447,7678.764273981696,11025.737127635515,5620.110081301343,3213.604655031446
ENSG00000008516,247.2390447865484,62.08906107262233,36.099741051475974,321.3665142557831,15.641831564991211,59.67291252549333
ENSG00000008517,779.9085315217949,636.2459699162266,1456.7992275934334,1065.4221061792045,496.62815218847095,507.94747491212615
ENSG00000008710,3410.0897518730026,1349.2687357824702,8438.023343838544,4300.579913703187,1325.6452251330052,1531.1196091907068
ENSG00000008735,2810.0828017202816,126.84861939568002,101.31217649930353,8481.414979737818,1580.607079642362,502.12572734866336
ENSG00000008838,4385.980453042671,2701.207968815376,3302.544052322124,4979.134050491672,5906.355598940681,1649.009997350828
ENSG00000008853,1632.1797102981893,720.3666333049408,1137.7240970094201,1547.4718775628792,1615.0191090853425,356.5820382620943
ENSG00000008869,2802.0425075808816,4756.155603025392,4775.646388777514,3274.049296510351,3905.7653417783054,4118.886401149905
ENSG00000008952,10939.825213421052,17501.10373072819,20695.632192478417,11894.654868409909,15616.022542908977,22428.282488240297
ENSG00000008988,82636.13309121781,52847.13771317813,86796.58707328263,87267.38398422886,21843.817780510228,127021.79921341232
ENSG00000009307,49888.01506144182,69734.02707630619,98035.2516180502,44997.45275722854,33033.98408210494,29225.172768583074
ENSG00000009335,5045.284572473467,6059.358261237852,9735.285006139971,8196.893033995437,7118.597545227501,9998.851440247297
