,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000172318,-3.70878330140542,0.908755763747711,404.804644688563,2.43267535616727e-39,5.22127976873538e-37,-38.61391584439119
ENSG00000177098,-2.76950228101699,4.84981577266285,404.732073535764,2.45222084457871e-39,5.22127976873538e-37,-38.61044042026173
ENSG00000171848,3.75658773974725,5.26346785410115,401.610473957662,3.46350648608502e-39,7.29165404828933e-37,38.46048399472606
ENSG00000102100,1.34304489664284,5.33395584439692,400.782029572567,3.79722176630018e-39,7.90539380390739e-37,38.420534038344016
ENSG00000080986,3.07169451411927,3.23295265511537,400.263937865003,4.0223754417604203e-39,8.282115236512641e-37,38.39551739553065
ENSG00000179051,1.05438440690167,7.36650022421647,399.395787246219,4.43056331904945e-39,9.02342009880756e-37,38.35354105237706
ENSG00000261039,3.73403146875824,0.922930635092409,398.578342655292,4.8534291803378e-39,9.70005224771964e-37,38.313951303077644
ENSG00000276043,3.58727571638775,3.68459018542122,398.480947474707,4.90647820745195e-39,9.70005224771964e-37,38.30923012577162
ENSG00000183856,3.7113184337972,4.52991875553977,398.459748086719,4.91810302360765e-39,9.70005224771964e-37,38.30820237797313
ENSG00000145777,-4.04833326844206,1.28173394933114,397.868012555996,5.25414699371119e-39,1.0254890856371499e-36,-38.27949778125215
ENSG00000081041,-4.54557315795276,3.8561411343801,396.692373438183,5.992807881964491e-39,1.1576004256120498e-36,-38.22236964473637
ENSG00000169258,2.70002110787648,2.66646121946166,396.527354970504,6.10463487837286e-39,1.16716881342931e-36,38.214340306338244
ENSG00000083067,-3.00513420623475,-0.156672915023414,395.661748885102,6.72698331007758e-39,1.2731665280901398e-36,-38.17217964981834
ENSG00000182253,-3.99203178806884,8.09775902348545,395.510476717248,6.84219836457986e-39,1.2820227075713299e-36,-38.16480433918433
ENSG00000159433,-2.07165275330951,4.54761620812965,391.57520488624,1.06619429546242e-38,1.9779487637702298e-36,-37.97216364544248
ENSG00000148053,-3.8761859868663,7.90107409662861,390.021832825875,1.27142802086268e-38,2.33556341440236e-36,-37.89570822143164
ENSG00000092853,2.93721415944423,2.38819656712067,389.561391218744,1.33967565023009e-38,2.4370390930447797e-36,37.8730003362368
ENSG00000196549,-3.51982037599023,7.32908358009294,388.164908310466,1.57035719020063e-38,2.82920987238357e-36,-37.8040015526293
ENSG00000086232,0.954375529864463,7.68973727057648,387.378048843677,1.71775482010698e-38,3.06529257755662e-36,37.76503882413304
ENSG00000132561,-3.10848268081433,6.81607310416245,386.699358741405,1.85616679436986e-38,3.2810374741611497e-36,-37.7313830008436
ENSG00000140525,1.93101765507843,5.0381806499047,386.184808422742,1.9686283670962e-38,3.43132062278508e-36,37.70583626118673
ENSG00000131747,3.75337401712181,6.7894361575295,386.144119801975,1.97781196168431e-38,3.43132062278508e-36,37.70381500085048
ENSG00000213398,-1.45244153615412,2.43270334702868,384.963568344251,2.2641351872669e-38,3.87217847703114e-36,-37.645097645800355
ENSG00000113578,-2.08971656252661,5.15575415133359,384.92851388565,2.27325416274444e-38,3.87217847703114e-36,-37.64335200496726
ENSG00000138778,2.58509625316428,3.7729711735867,381.971579461353,3.19405130466293e-38,5.3916161527449896e-36,37.49565811225732
ENSG00000245025,-1.87603692957696,0.204340092939994,381.706358632874,3.29330802501438e-38,5.5095278986334394e-36,-37.48236764757298
ENSG00000144136,1.27621059541191,5.9844291643823,381.263091109704,3.46625758392497e-38,5.7475458716816006e-36,37.460139167207615
ENSG00000113368,2.50499017793839,5.30239080732263,380.275885203163,3.88541947246256e-38,6.38606181188868e-36,37.41056208761169
ENSG00000122966,1.97930374154731,4.0074796213744,378.952451239631,4.52956260140416e-38,7.32305235778315e-36,37.3439437337417
ENSG00000142945,3.1062801689118,3.98786819210832,378.944638514482,4.53367173775335e-38,7.32305235778315e-36,37.343549928330226
ENSG00000011426,3.49037378884688,4.8956589828461,378.809942969113,4.60511490852603e-38,7.374875046243779e-36,37.336759528655804
ENSG00000175063,4.02038720338156,4.26833621423713,377.250827437549,5.52046731743392e-38,8.76584712938639e-36,37.258024156909855
ENSG00000130032,-3.40148189620332,2.22987510725973,375.262775569142,6.96204550724644e-38,1.09620039217879e-35,-37.1572631422868
ENSG00000164611,2.89729899003799,3.60358906890074,374.547774523238,7.56965178535601e-38,1.1819380458517999e-35,37.1209240981983
ENSG00000165480,3.07054291862196,2.54154343206479,374.070408319864,8.00510729789939e-38,1.23647189995086e-35,37.096632842561256
ENSG00000165474,4.33865250054428,4.75700663934057,374.02175977851,8.05089244777736e-38,1.23647189995086e-35,37.09415597507782
ENSG00000253250,-2.10654794734728,0.810084411754201,373.527018321832,8.53192676713022e-38,1.2996968441928402e-35,-37.06895288092628
ENSG00000154529,-3.38062734313504,1.2851705985287,372.481211620181,9.6473289441729e-38,1.45775808408845e-35,-37.015592913120436
